0-1 3:[8-0.30][5-0.30][6-0.40]
0-2 2:[8-0.60][7-0.40]
0-3 2:[7-0.60][5-0.40]
0-4 2:[6-0.60][5-0.40]
0-5 2:[4-0.70][3-0.30]
0-6 3:[4-0.30][1-0.20][2-0.50]
0-7 2:[8-0.70][7-0.30]
0-8 2:[8-0.60][6-0.40]
0-9 2:[4-0.40][2-0.60]
0-10 3:[3-0.40][5-0.30][4-0.30]
0-11 3:[8-0.10][10-0.40][9-0.50]
0-12 2:[6-0.80][8-0.20]
0-13 3:[4-0.50][1-0.10][2-0.40]
0-14 3:[1-0.40][4-0.30][3-0.30]
0-15 2:[6-0.30][7-0.70]
0-16 2:[3-0.50][2-0.50]
0-17 2:[5-0.30][4-0.70]
0-18 2:[4-0.40][2-0.60]
0-19 3:[6-0.40][9-0.20][7-0.40]
1-2 2:[5-0.70][7-0.30]
1-3 2:[5-0.50][4-0.50]
1-4 2:[7-0.40][5-0.60]
1-5 2:[3-0.50][2-0.50]
1-6 3:[8-0.40][7-0.30][9-0.30]
1-7 3:[8-0.50][7-0.30][6-0.20]
1-8 2:[3-0.50][5-0.50]
1-9 3:[7-0.40][6-0.10][5-0.50]
1-10 2:[5-0.30][6-0.70]
1-11 2:[1-0.60][3-0.40]
1-12 2:[2-0.40][3-0.60]
1-13 2:[3-0.50][4-0.50]
1-14 2:[2-0.80][4-0.20]
1-15 3:[3-0.40][4-0.40][5-0.20]
1-16 2:[4-0.80][5-0.20]
1-17 2:[4-0.70][5-0.30]
1-18 3:[8-0.30][10-0.50][7-0.20]
1-19 2:[5-0.50][4-0.50]
2-3 3:[2-0.40][5-0.10][3-0.50]
2-4 2:[9-0.80][7-0.20]
2-5 3:[7-0.20][5-0.30][8-0.50]
2-6 4:[3-0.30][4-0.40][6-0.20][5-0.10]
2-7 2:[1-0.70][2-0.30]
2-8 2:[5-0.40][6-0.60]
2-9 2:[9-0.70][8-0.30]
2-10 2:[4-0.30][5-0.70]
